codigo_postal,nombre_entidad_singular,municipio_id,nombre
43152,PERAFORT,43103,Perafort
43153,GARIDELLS (ELS),43066,"Garidells, Els"
43154,GUNYOLES (LES),43144,"Secuita, La"
43155,PUIGDELFI,43103,Perafort
43201,TARRAGONA,43148,Tarragona
43202,REUS,43123,Reus
43203,REUS,43123,Reus
43204,MAS CARPA,43123,Reus
43205,REUS,43123,Reus
43206,PLANA (LA),43171,Vila-seca
43300,POBLES (LES),43092,Mont-roig del Camp
43310,COLLDEJOU,43045,Colldejou
43311,VILANOVA D'ESCORNALBOU,43167,Vilanova d'Escornalbou
43312,ARBOCET (L'),43167,Vilanova d'Escornalbou
43320,LLABERIA,43150,Tivissa
43330,RIUDOMS,43129,Riudoms
43340,MONTBRIO DEL CAMP,43088,Montbrió del Camp
43350,BORGES DEL CAMP (LES),43031,"Borges del Camp, Les"
43360,CORNUDELLA DE MONTSANT,43049,Cornudella de Montsant
43361,MORERA DE MONTSANT (LA),43096,"Morera de Montsant, La"
43362,SIURANA,43049,Cornudella de Montsant
43363,ULLDEMOLINS,43157,Ulldemolins
43364,PRADES,43116,Prades
43365,ARBOLI,43015,Arbolí
43370,PALMA D'EBRE (LA),43099,"Palma d'Ebre, La"
43371,MARGALEF,43075,Margalef
43372,BISBAL DE FALSET (LA),43027,"Bisbal de Falset, La"
43373,CABACES,43035,Cabacés
43374,VILELLA BAIXA (LA),43174,"Vilella Baixa, La"
43375,VILELLA ALTA (LA),43173,"Vilella Alta, La"
43376,POBOLEDA,43112,Poboleda
43379,SCALA-DEI,43096,"Morera de Montsant, La"
43380,VILAPLANA,43169,Vilaplana
43381,ALEIXAR (L'),43007,"Aleixar, L'"
43382,ROCABRUNA,43081,Maspujols
43390,URBANIZACION RIU-CLUB,43128,Riudecols
43391,SANT JOAN DELS ARCS,43178,Vinyols i els Arcs
43392,SUVIANS (ELS),43042,Castellvell del Camp
43393,CASTELLMOSTER,43011,Almoster
43400,PINATELL,43086,Montblanc
43410,GUARDIA DELS PRATS,43086,Montblanc
43411,BLANCAFORT,43029,Blancafort
43412,SOLIVELLA,43147,Solivella
43413,BELLTALL,43101,Passanant i Belltall
43414,LILLA,43086,Montblanc
43415,ROJALS,43086,Montblanc
43420,SANTA COLOMA DE QUERALT,43139,Santa Coloma de Queralt
43421,VALLDEPERES,43141,Pontils
43422,BARBERA DE LA CONCA,43021,Barberà de la Conca
43423,PIRA,43107,Pira
43424,VALLVERD,43142,Sarral
43425,MONTBRIO DE LA MARCA,43142,Sarral
43426,ROCAFORT DE QUERALT,43130,Rocafort de Queralt
43427,VALLFOGONA DE RIUCORB,43159,Vallfogona de Riucorb
43428,VALLVERD,43142,Sarral
43429,ROQUES (LES),43139,Santa Coloma de Queralt
43430,VIMBODÍ I POBLET,43176,Vimbodí i Poblet
43439,VILANOVA DE PRADES,43168,Vilanova de Prades
43440,SANTISSIMA TRINITAT,43054,"Espluga de Francolí, L'"
43442,BARBERA DE LA CONCA,43021,Barberà de la Conca
43448,VIMBODÍ I POBLET,43176,Vimbodí i Poblet
43449,VIMBODÍ I POBLET,43176,Vimbodí i Poblet
43450,HORTASSES (LES),43124,"Riba, La"
43459,FARENA,43091,Mont-ral
43460,MAS GASSOL,43005,Alcover
43470,SELVA DEL CAMP (LA),43145,"Selva del Camp, La"
43479,VILLA SAN FRANCISCO,43003,"Albiol, L'"
43480,VILA-SECA,43171,Vila-seca
43481,PINEDA (LA),43171,Vila-seca
43490,VILAVERD,43172,Vilaverd
43491,PICAMOIXONS,43161,Valls
43500,TORTOSA,43155,Tortosa
43510,BITEM,43155,Tortosa
43511,TIVENYS,43149,Tivenys
43512,BENIFALLET,43025,Benifallet
43513,RASQUERA,43121,Rasquera
43514,MAS DE BARBERANS,43077,Mas de Barberans
43515,GALERA (LA),43063,"Galera, La"
43516,GODALL,43068,Godall
43517,VINALLOP,43155,Tortosa
43519,PERELLÓ (EL),43104,"Perelló, El"
43520,ROQUETES,43133,Roquetes
43527,REGUERS (ELS),43155,Tortosa
43528,ALFARA DE CARLES,43008,Alfara de Carles
43529,RAVAL DE CRISTO,43133,Roquetes
43530,ALCANAR,43004,Alcanar
43540,SANT CARLES DE LA RAPITA,43136,Sant Carles de la Ràpita
43548,SALINES DE LA TRINITAT,43136,Sant Carles de la Ràpita
43549,POBLE NOU DEL DELTA,43014,Amposta
43550,ULLDECONA,43156,Ulldecona
43558,VENTALLES (LES),43156,Ulldecona
43559,MILIANA (LA),43156,Ulldecona
43560,PLANS (ELS),43044,"Sénia, La"
43569,CASES D'ALCANAR (LES),43004,Alcanar
43570,SANTA BARBARA,43138,Santa Bàrbara
43580,DELTEBRE,43901,Deltebre
43590,JESUS,43155,Tortosa
43591,ALDOVER,43006,Aldover
43592,XERTA,43052,Xerta
43593,PAÜLS,43102,Paüls
43594,PINELL DE BRAI (EL),43106,"Pinell de Brai, El"
43595,PRAT DE COMTE,43117,Prat de Comte
43596,MONCADES,43071,Horta de Sant Joan
43597,ARNES,43018,Arnes
43700,MAS BORRÀS,43163,"Vendrell, El"
43710,PEDRERES (LES),43140,Santa Oliva
43711,PRIORAT DE BANYERES,43020,Banyeres del Penedès
43712,PRIORAT DE BANYERES,43074,Llorenç del Penedès
43713,PAPAGAI (EL),43137,Sant Jaume dels Domenys
43714,URB PINEDAS ALTAS,43090,"Montmell, El"
43715,VALLDOSSERA,43120,Querol
43716,PAPIOLA (LA),43002,Albinyana
43717,MASIETA (LA),43028,"Bisbal del Penedès, La"
43718,PEDRERES (LES),43140,Santa Oliva
43719,BELLVEI,43024,Bellvei
43720,ARBOÇ (L'),43016,"Arboç, L'"
43730,COMES (LES),43076,Marçà
43736,MOLAR (EL),43085,"Molar, El"
43737,TORROJA DEL PRIORAT,43154,Torroja del Priorat
43738,BELLMUNT DEL PRIORAT,43023,Bellmunt del Priorat
43739,PORRERA,43114,Porrera
43740,MORA D'EBRE,43093,Móra d'Ebre
43746,TIVISSA,43150,Tivissa
43747,MIRAVET,43084,Miravet
43748,GINESTAR,43067,Ginestar
43749,GARCIA,43065,Garcia
43750,COMELLARETS,43060,Flix
43760,MORELL (EL),43095,"Morell, El"
43761,FLOR DE ALMENDRO (URB),43111,"Pobla de Montornès, La"
43762,URB RESIDENCIAL LA RIERA,43126,"Riera de Gaià, La"
